text,label
"Artificial intelligence is the ability of machines to perform tasks that normally require human thinking and learning. It works by using data and algorithms to recognize patterns, make decisions, and improve over time. Instead of following only fixed instructions, AI systems adapt based on experience. This helps them understand language, analyze information, and solve problems efficiently in everyday applications across industries such as healthcare, finance, education, and transportation, making processes faster, more accurate, and easier for people worldwide today globally.",chatgpt
"Artificial intelligence involves computer systems built to perform specific tasks which normally require human cognition and reasoning skills. This technology learns from vast information, identifies intricate patterns, and makes autonomous choices. Rather than executing fixed code, AI utilizes sophisticated neural networks to process big data while improving its accuracy through iteration. It enables modern applications such as facial recognition, language translation, and strategic games. Basically, AI mimics human mental processes to efficiently solve various complex problems found within our world.",gemini
"Artificial intelligence, or AI, is the ability of computers to perform tasks that normally require human intelligence. This includes understanding language, recognizing images, making decisions, and learning from past experience. AI systems are trained on massive amounts of data, allowing them to identify patterns and continuously improve over time. Think of it like teaching a child — the more examples they see, the smarter they gradually become. AI powers many everyday tools like search engines, voice assistants, and recommendation systems.",claude
"Artificial intelligence is the science of designing machines and software that can perform tasks requiring human-like intelligence. It enables computers to process information, learn from data, identify patterns, and make decisions without needing explicit instructions for every detail. Through algorithms and models, AI systems can adapt and improve their performance over time. In simple terms, it is about teaching computers to think and act intelligently, allowing them to solve problems and carry out tasks in ways similar to human reasoning.",copilot
"Binary search is an efficient algorithm for finding a specific value within a sorted list. Instead of checking every single element one by one, it repeatedly divides the list in half. It always starts at the middle element — if that matches the target, the search ends immediately. If the target is smaller, it searches the left half; if larger, it searches the right half. This process continues repeating until the value is found or the list is completely exhausted.",claude
"Binary search is an efficient algorithm used to find a target value in a sorted array or list. It works by repeatedly dividing the search range in half. First, it compares the target with the middle element. If equal, the search ends. If smaller, it continues in the left half; if larger, in the right half. This process repeats until the value is found or the range becomes empty. It reduces time complexity significantly compared to linear search methods overall.",chatgpt
"Binary search is an efficient algorithm used to find a target value within a sorted array by repeatedly dividing the search interval in half. It begins by comparing the target to the middle element. If they do not match, the half where the value cannot exist is discarded. This process continues until the element is located or the interval is empty. Its time complexity is logarithmic, making it exponentially faster than linear search for extremely large, sorted collections of data.",gemini
"Binary search is an efficient algorithm used to find a target value in a sorted list by repeatedly dividing the search range in half. It begins by comparing the target with the middle element. If they match, the search ends. If the target is smaller, the search continues in the left half; if larger, in the right half. This process repeats until the element is found or the range is empty. Its time complexity is logarithmic, making it very fast.",copilot
"The internet is a global network of interconnected computers that communicate using standardized protocols. When you request a webpage, your device sends small data packets through routers across different networks to a server. The server processes the request and returns the necessary information as packets. These packets travel back and are reassembled on your device to display the content. This process enables fast, reliable communication and supports many services like websites, email, streaming, and real time interactions worldwide today globally.",chatgpt
"The internet is a vast global network of computers connected through standardized protocols. When you request data, your machine sends packets across many routers and switches. Domain Name System servers translate URLs into numerical IP addresses to find the right server. These packets travel via underwater cables or satellite links before being put back together at their final destination. This decentralized system allows for fast information exchange and global connectivity across every single continent on our planet today for everyone.",gemini
